sale_id,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points
124,A,"New York",Member,Female,Detergent,Household,14.91,4,4.17,63.81,6
125,A,"New York",Member,Male,Shampoo,Household,6.84,6,2.87,43.91,4
126,A,"New York",Member,Female,Detergent,Fruits,20.37,10,14.26,217.96,21
127,A,"New York",Normal,Male,Apple,Beverages,1.09,10,0.76,11.66,0
128,A,Chicago,Member,Female,Notebook,Fruits,2.78,5,0.97,14.87,1
129,A,Chicago,Member,Female,Shampoo,Beverages,15.52,4,4.35,66.43,6
130,B,"Los Angeles",Member,Female,Shampoo,Household,13.18,16,14.76,225.64,22
131,A,"New York",Normal,Male,Shampoo,"Personal Care",6.17,19,8.21,125.44,0
132,A,Chicago,Normal,Male,"Orange Juice",Household,12.01,17,14.29,218.46,0
133,A,Chicago,Normal,Male,Apple,Fruits,17.25,14,16.91,258.41,0
134,A,"New York",Member,Female,Apple,Beverages,17.25,11,13.28,203.03,20
135,A,"New York",Member,Female,Notebook,Beverages,20.58,19,27.37,418.39,41
136,B,"Los Angeles",Normal,Female,Apple,Beverages,4.91,1,0.34,5.25,0
137,B,"Los Angeles",Member,Female,Apple,Household,18.05,2,2.53,38.63,3
138,B,"Los Angeles",Member,Male,Notebook,Household,4.66,18,5.87,89.75,8
139,A,Chicago,Member,Male,Shampoo,Fruits,4.89,14,4.79,73.25,7
140,B,"Los Angeles",Member,Female,"Orange Juice","Personal Care",9.71,13,8.84,135.07,13
141,A,Chicago,Normal,Female,Notebook,Fruits,3.44,6,1.44,22.08,0
142,A,"New York",Member,Female,Notebook,Household,14.58,7,7.14,109.20,10
143,A,"New York",Member,Male,Shampoo,"Personal Care",16.69,7,8.18,125.01,12
144,A,Chicago,Member,Male,Shampoo,Beverages,9.72,16,10.89,166.41,16
145,B,"Los Angeles",Normal,Male,Shampoo,Fruits,15.96,2,2.23,34.15,0
146,A,"New York",Member,Male,Apple,Stationery,11.42,20,15.99,244.39,24
147,A,"New York",Normal,Male,Notebook,Beverages,5.01,12,4.21,64.33,0
148,A,Chicago,Member,Male,Notebook,Household,2.27,9,1.43,21.86,2
149,A,"New York",Member,Female,Shampoo,"Personal Care",13.07,19,17.38,265.71,26
150,A,"New York",Normal,Female,Notebook,Beverages,5.83,14,5.71,87.33,0
151,A,Chicago,Normal,Male,Shampoo,Household,20.06,14,19.66,300.50,0
152,A,Chicago,Normal,Male,"Orange Juice",Household,19.89,10,13.92,212.82,0
153,A,Chicago,Normal,Male,Notebook,"Personal Care",5.56,19,7.39,113.03,0
154,B,"Los Angeles",Normal,Male,Detergent,Stationery,17.21,1,1.20,18.41,0
155,A,Chicago,Member,Male,Apple,Stationery,11.38,11,8.76,133.94,13
156,A,Chicago,Member,Male,"Orange Juice",Stationery,5.33,20,7.46,114.06,11
157,A,"New York",Normal,Female,Shampoo,Beverages,18.79,20,26.31,402.11,0
158,A,"New York",Normal,Male,Shampoo,Fruits,19.04,1,1.33,20.37,0
159,A,"New York",Normal,Female,Notebook,Household,19.82,11,15.26,233.28,0
160,A,Chicago,Member,Female,"Orange Juice",Household,9.31,2,1.30,19.92,1
161,A,Chicago,Member,Male,"Orange Juice",Stationery,20.91,19,27.81,425.10,42
162,A,"New York",Member,Female,Shampoo,Fruits,15.06,4,4.22,64.46,6
163,B,"Los Angeles",Normal,Male,"Orange Juice",Fruits,17.61,11,13.56,207.27,0
164,B,"Los Angeles",Normal,Male,Notebook,"Personal Care",20.76,8,11.63,177.71,0
165,A,Chicago,Member,Female,Detergent,Stationery,11.92,18,15.02,229.58,22
166,B,"Los Angeles",Normal,Male,Detergent,"Personal Care",14.17,18,17.85,272.91,0
167,B,"Los Angeles",Normal,Male,Apple,Stationery,6.56,10,4.59,70.19,0
168,A,Chicago,Member,Male,Detergent,Beverages,9.63,12,8.09,123.65,12
169,A,"New York",Member,Male,"Orange Juice",Household,17.99,4,5.04,77.00,7
170,B,"Los Angeles",Normal,Female,Detergent,Fruits,5.36,12,4.50,68.82,0
171,A,"New York",Member,Female,"Orange Juice",Fruits,11.53,5,4.04,61.69,6
172,B,"Los Angeles",Normal,Female,Shampoo,Fruits,14.82,15,15.56,237.86,0
173,A,"New York",Member,Female,Apple,Fruits,14.83,20,20.76,317.36,31
174,B,"Los Angeles",Member,Male,Shampoo,Stationery,5.09,3,1.07,16.34,1
175,A,"New York",Normal,Male,Detergent,Household,17.32,15,18.19,277.99,0
176,B,"Los Angeles",Member,Female,Shampoo,Fruits,14.31,1,1.00,15.31,1
177,B,"Los Angeles",Member,Male,"Orange Juice",Fruits,1.21,10,0.85,12.95,1
178,A,Chicago,Member,Male,Notebook,"Personal Care",11.85,10,8.30,126.80,12
179,A,"New York",Member,Male,Notebook,Fruits,4.60,3,0.97,14.77,1
180,B,"Los Angeles",Member,Female,"Orange Juice",Household,6.78,4,1.90,29.02,2
181,B,"Los Angeles",Member,Female,Notebook,Fruits,15.13,17,18.00,275.21,27
182,A,"New York",Normal,Female,Detergent,Stationery,3.14,8,1.76,26.88,0
183,A,Chicago,Normal,Female,Notebook,Stationery,4.37,15,4.59,70.14,0
184,A,"New York",Member,Female,Shampoo,Fruits,18.70,14,18.33,280.13,28
185,A,Chicago,Member,Female,Notebook,Beverages,19.12,16,21.41,327.33,32
186,B,"Los Angeles",Member,Female,Notebook,Beverages,11.99,3,2.52,38.49,3
187,A,"New York",Member,Male,Notebook,Fruits,9.72,15,10.21,156.01,15
188,A,Chicago,Normal,Male,Notebook,Household,5.72,5,2.00,30.60,0
189,A,Chicago,Member,Male,Shampoo,Household,14.87,3,3.12,47.73,4
190,B,"Los Angeles",Member,Female,Shampoo,Fruits,9.66,11,7.44,113.70,11
191,A,"New York",Member,Male,"Orange Juice",Stationery,3.57,13,3.25,49.66,4
192,A,"New York",Member,Female,Detergent,Stationery,5.50,10,3.85,58.85,5
193,B,"Los Angeles",Normal,Male,Apple,Household,2.45,3,0.51,7.86,0
194,A,Chicago,Member,Female,Shampoo,Beverages,9.57,4,2.68,40.96,4
195,B,"Los Angeles",Member,Male,Notebook,Household,2.61,4,0.73,11.17,1
196,A,"New York",Normal,Female,Apple,Fruits,8.98,6,3.77,57.65,0
197,A,"New York",Member,Female,Notebook,Stationery,19.49,15,20.46,312.81,31
198,A,Chicago,Member,Male,"Orange Juice","Personal Care",6.80,18,8.57,130.97,13
199,B,"Los Angeles",Member,Male,Notebook,Fruits,9.84,16,11.02,168.46,16
200,A,Chicago,Normal,Female,Apple,Fruits,11.39,6,4.78,73.12,0
201,A,"New York",Normal,Female,Detergent,"Personal Care",8.30,13,7.55,115.45,0
202,A,"New York",Member,Female,Detergent,Household,10.90,8,6.10,93.30,9
203,B,"Los Angeles",Member,Female,Shampoo,Fruits,3.00,20,4.20,64.20,6
204,A,Chicago,Member,Female,Detergent,Household,16.50,10,11.55,176.55,17
205,A,"New York",Normal,Female,"Orange Juice","Personal Care",20.06,5,7.02,107.32,0
206,A,"New York",Normal,Female,Shampoo,Household,10.73,7,5.26,80.37,0
207,B,"Los Angeles",Normal,Female,Detergent,Stationery,8.46,18,10.66,162.94,0
208,A,"New York",Member,Female,Shampoo,Fruits,6.76,20,9.46,144.66,14
209,B,"Los Angeles",Normal,Male,"Orange Juice","Personal Care",8.71,7,4.27,65.24,0
210,B,"Los Angeles",Member,Female,Notebook,Beverages,6.91,18,8.71,133.09,13
211,A,Chicago,Member,Female,Notebook,Stationery,16.18,15,16.99,259.69,25
212,A,Chicago,Member,Female,Detergent,Stationery,12.50,17,14.88,227.38,22
213,A,"New York",Normal,Male,"Orange Juice",Fruits,17.55,16,19.66,300.46,0
214,A,"New York",Normal,Male,Notebook,Household,17.59,1,1.23,18.82,0
215,B,"Los Angeles",Member,Female,Notebook,Beverages,6.70,19,8.91,136.21,13
216,A,"New York",Member,Female,Shampoo,Fruits,18.35,2,2.57,39.27,3
217,A,"New York",Normal,Female,"Orange Juice",Stationery,7.09,16,7.94,121.38,0
218,A,Chicago,Member,Male,Detergent,Household,19.96,9,12.57,192.21,19
219,B,"Los Angeles",Normal,Male,Shampoo,Stationery,3.01,16,3.37,51.53,0
220,A,"New York",Member,Male,Detergent,Fruits,4.80,13,4.37,66.77,6
221,B,"Los Angeles",Normal,Female,"Orange Juice","Personal Care",5.86,17,6.97,106.59,0
222,B,"Los Angeles",Member,Female,"Orange Juice","Personal Care",17.55,19,23.34,356.79,35
223,A,"New York",Member,Male,Shampoo,Stationery,14.47,5,5.06,77.41,7
224,A,Chicago,Member,Female,"Orange Juice","Personal Care",7.91,14,7.75,118.49,11
225,A,Chicago,Member,Male,Apple,Stationery,5.11,19,6.80,103.89,10
226,A,Chicago,Member,Male,Shampoo,Fruits,17.62,16,19.73,301.65,30
227,A,"New York",Member,Male,Shampoo,Beverages,12.79,3,2.69,41.06,4
228,A,"New York",Normal,Male,Apple,"Personal Care",9.59,1,0.67,10.26,0
229,A,"New York",Normal,Female,Notebook,Fruits,2.58,14,2.53,38.65,0
230,A,"New York",Normal,Male,Shampoo,Household,15.08,12,12.67,193.63,0
231,A,"New York",Member,Male,Shampoo,Household,10.40,1,0.73,11.13,1
232,A,Chicago,Normal,Male,Shampoo,Household,1.07,4,0.30,4.58,0
233,A,"New York",Normal,Male,Shampoo,"Personal Care",2.83,6,1.19,18.17,0
234,A,Chicago,Member,Male,Notebook,Fruits,4.63,5,1.62,24.77,2
235,A,"New York",Normal,Female,Apple,Household,12.78,2,1.79,27.35,0
236,A,Chicago,Member,Male,Apple,Household,11.56,16,12.95,197.91,19
237,B,"Los Angeles",Normal,Female,Detergent,Household,18.10,8,10.14,154.94,0
238,A,"New York",Member,Male,Shampoo,Beverages,7.60,1,0.53,8.13,0
239,A,Chicago,Member,Male,Shampoo,Beverages,19.85,15,20.84,318.59,31
240,B,"Los Angeles",Normal,Male,Shampoo,Fruits,10.77,16,12.06,184.38,0
241,B,"Los Angeles",Normal,Male,Shampoo,Household,3.61,10,2.53,38.63,0
242,A,"New York",Normal,Female,Shampoo,Stationery,6.77,13,6.16,94.17,0
243,A,Chicago,Normal,Female,Shampoo,"Personal Care",10.22,6,4.29,65.61,0
244,B,"Los Angeles",Normal,Female,Apple,"Personal Care",12.47,15,13.09,200.14,0
245,A,Chicago,Normal,Male,Shampoo,Household,15.54,16,17.40,266.04,0
246,A,"New York",Member,Female,Notebook,Beverages,18.30,9,11.53,176.23,17
247,A,Chicago,Normal,Male,Detergent,Beverages,8.81,3,1.85,28.28,0
248,A,"New York",Member,Male,Apple,Fruits,13.53,17,16.10,246.11,24
249,A,"New York",Normal,Female,Detergent,"Personal Care",9.61,19,12.78,195.37,0
250,B,"Los Angeles",Member,Female,Apple,Beverages,10.17,18,12.81,195.87,19
251,A,Chicago,Member,Female,Notebook,"Personal Care",15.34,8,8.59,131.31,13
252,B,"Los Angeles",Member,Female,Apple,Household,19.50,13,17.75,271.25,27
253,A,"New York",Member,Male,"Orange Juice",Fruits,20.81,5,7.28,111.33,11
254,A,Chicago,Normal,Female,"Orange Juice",Fruits,20.25,4,5.67,86.67,0
255,B,"Los Angeles",Normal,Male,Apple,Beverages,4.37,4,1.22,18.70,0
256,B,"Los Angeles",Normal,Male,Apple,Beverages,17.95,12,15.08,230.48,0
257,A,"New York",Member,Male,Apple,Household,3.32,7,1.63,24.87,2
258,A,Chicago,Member,Female,Apple,Fruits,18.14,19,24.13,368.79,36
259,A,Chicago,Member,Male,Shampoo,Stationery,6.62,8,3.71,56.67,5
260,B,"Los Angeles",Member,Female,Shampoo,Beverages,14.94,10,10.46,159.86,15
261,B,"Los Angeles",Member,Male,Notebook,Beverages,20.02,19,26.63,407.01,40
262,A,"New York",Normal,Male,Shampoo,Beverages,17.65,5,6.18,94.43,0
263,A,"New York",Normal,Female,Detergent,Household,11.67,11,8.99,137.36,0
264,B,"Los Angeles",Member,Male,Shampoo,Household,17.10,1,1.20,18.30,1
265,B,"Los Angeles",Member,Female,Detergent,Household,2.39,10,1.67,25.57,2
266,B,"Los Angeles",Member,Female,Shampoo,Stationery,2.14,13,1.95,29.77,2
267,B,"Los Angeles",Member,Male,Notebook,"Personal Care",6.41,7,3.14,48.01,4
268,B,"Los Angeles",Normal,Male,"Orange Juice","Personal Care",5.94,13,5.41,82.63,0
269,B,"Los Angeles",Member,Male,"Orange Juice",Household,17.33,17,20.62,315.23,31
270,A,Chicago,Normal,Female,Notebook,Stationery,16.05,18,20.22,309.12,0
271,A,Chicago,Normal,Male,"Orange Juice","Personal Care",17.89,1,1.25,19.14,0
272,A,"New York",Member,Female,Detergent,Beverages,14.76,12,12.40,189.52,18
273,A,"New York",Normal,Male,Notebook,"Personal Care",5.00,9,3.15,48.15,0
274,A,"New York",Member,Male,"Orange Juice",Stationery,6.42,5,2.25,34.35,3
275,B,"Los Angeles",Member,Male,Notebook,Beverages,6.37,17,7.58,115.87,11
276,B,"Los Angeles",Normal,Male,Detergent,Stationery,6.74,16,7.55,115.39,0
277,A,"New York",Normal,Female,Apple,Household,15.70,12,13.19,201.59,0
278,B,"Los Angeles",Member,Male,Detergent,Fruits,19.93,8,11.16,170.60,17
279,B,"Los Angeles",Normal,Male,Notebook,"Personal Care",2.40,17,2.86,43.66,0
280,B,"Los Angeles",Normal,Female,Shampoo,Stationery,1.94,6,0.81,12.45,0
281,B,"Los Angeles",Member,Male,Shampoo,Fruits,4.31,6,1.81,27.67,2
282,A,"New York",Member,Female,Detergent,Stationery,15.53,1,1.09,16.62,1
283,A,Chicago,Normal,Female,Detergent,"Personal Care",18.01,4,5.04,77.08,0
284,B,"Los Angeles",Member,Male,Shampoo,"Personal Care",7.79,10,5.45,83.35,8
285,B,"Los Angeles",Member,Male,"Orange Juice",Beverages,1.50,4,0.42,6.42,0
286,A,Chicago,Normal,Male,Detergent,Stationery,1.45,11,1.12,17.07,0
287,A,Chicago,Normal,Female,Apple,Fruits,8.80,6,3.70,56.50,0
288,A,"New York",Normal,Female,Detergent,Household,1.92,19,2.55,39.03,0
289,B,"Los Angeles",Normal,Female,Detergent,Beverages,20.43,8,11.44,174.88,0
290,A,"New York",Normal,Female,Shampoo,"Personal Care",18.24,6,7.66,117.10,0
291,A,Chicago,Member,Female,Detergent,Fruits,2.16,18,2.72,41.60,4
292,A,"New York",Member,Female,Notebook,"Personal Care",8.74,16,9.79,149.63,14
293,A,"New York",Member,Female,Apple,Household,18.32,9,11.54,176.42,17
294,B,"Los Angeles",Normal,Male,Shampoo,Stationery,3.79,19,5.04,77.05,0
295,B,"Los Angeles",Member,Male,"Orange Juice",Stationery,12.24,2,1.71,26.19,2
296,A,"New York",Normal,Male,Detergent,Beverages,1.76,5,0.62,9.42,0
297,B,"Los Angeles",Member,Male,"Orange Juice",Household,13.60,7,6.66,101.86,10
298,A,"New York",Member,Female,Detergent,Fruits,11.97,7,5.87,89.66,8
299,A,Chicago,Normal,Female,"Orange Juice","Personal Care",13.49,15,14.16,216.51,0
300,A,"New York",Normal,Male,Apple,Stationery,9.85,12,8.27,126.47,0
301,A,"New York",Member,Male,Shampoo,Household,13.68,7,6.70,102.46,10
302,A,Chicago,Normal,Male,Notebook,Beverages,14.79,18,18.64,284.86,0
303,A,Chicago,Member,Female,"Orange Juice",Household,9.74,17,11.59,177.17,17
304,A,"New York",Normal,Male,Shampoo,Beverages,6.94,14,6.80,103.96,0
305,A,Chicago,Member,Female,Apple,Fruits,2.78,2,0.39,5.95,0
306,A,Chicago,Member,Male,Apple,"Personal Care",17.58,1,1.23,18.81,1
307,B,"Los Angeles",Normal,Female,Detergent,"Personal Care",14.20,1,0.99,15.19,0
308,B,"Los Angeles",Member,Male,Detergent,Fruits,8.26,4,2.31,35.35,3
309,A,"New York",Member,Male,"Orange Juice",Beverages,8.62,1,0.60,9.22,0
310,A,Chicago,Member,Male,"Orange Juice",Household,8.02,17,9.54,145.88,14
311,A,Chicago,Member,Female,Apple,Fruits,20.18,5,7.06,107.96,10
312,B,"Los Angeles",Member,Female,Detergent,Stationery,9.87,4,2.76,42.24,4
313,B,"Los Angeles",Normal,Female,Detergent,Fruits,5.37,13,4.89,74.70,0
314,B,"Los Angeles",Normal,Female,Notebook,Fruits,11.36,3,2.39,36.47,0
315,B,"Los Angeles",Member,Female,Detergent,Fruits,1.10,5,0.39,5.89,0
316,A,"New York",Normal,Female,Shampoo,Stationery,1.09,4,0.31,4.67,0
317,A,Chicago,Normal,Female,"Orange Juice",Stationery,3.07,18,3.87,59.13,0
318,A,Chicago,Normal,Female,Notebook,Stationery,16.36,16,18.32,280.08,0
319,B,"Los Angeles",Member,Female,Notebook,Household,15.79,8,8.84,135.16,13
320,A,"New York",Normal,Male,Notebook,Beverages,16.89,20,23.65,361.45,0
321,B,"Los Angeles",Normal,Male,Notebook,Fruits,13.46,15,14.13,216.03,0
322,A,Chicago,Member,Female,Apple,Stationery,4.31,16,4.83,73.79,7
323,B,"Los Angeles",Member,Male,"Orange Juice","Personal Care",19.14,5,6.70,102.40,10
324,A,Chicago,Normal,Male,Notebook,Beverages,1.50,13,1.37,20.87,0
325,B,"Los Angeles",Member,Female,Detergent,Household,18.30,19,24.34,372.04,37
